X,tok,RF_PoStag,tree_PoStag,tok_2,f.s,tok_3,oed_check,oed_FALSE,oed_TRUE,oed_tt,oed_NNS,punct,tok.to.edit,pdf.page
8602,Obſerve,FM,NP,Observe,NA,Observe,0,NA,Observe,NA,NA,NA,Observe,20
8603,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8604,na,ITJ,TO,na,NA,na,0,NA,na,NA,NA,NA,na,20
8605,Eugliſh,FM,NP,Euglish,NA,Euglish,1,Euglish,NA,NA,NA,NA,.,20
8606,Word,FM,NP,Word,NA,Word,0,NA,Word,NA,NA,NA,Word,20
8607,ends,FM,VVZ,ends,NA,ends,1,ends,NA,NA,NA,NA,.,20
8608,with,FM,IN,with,NA,with,0,NA,with,NA,NA,NA,with,20
8609,u,N.Name.Nom.Sg.Neut,NN,u,NA,u,0,NA,u,NA,NA,NA,u,20
8610,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8611,except,FM,IN,except,NA,except,0,NA,except,NA,NA,NA,except,20
8612,ypu,FM,NN,ypu,NA,ypu,1,ypu,NA,NA,NA,NA,.,20
8613,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8614,tbou,FM,NNS,tbou,NA,tbou,1,tbou,NA,NA,tbou,NA,.,20
8615,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8616,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8617,adieu,ADV,NN,adieu,NA,adieu,0,NA,adieu,NA,NA,NA,adieu,20
8618,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8619,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,20
8620,Sound,FM,NN,Sound,NA,Sound,0,NA,Sound,NA,NA,NA,Sound,20
8621,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,20
8622,it,FM,PP,it,NA,it,0,NA,it,NA,NA,NA,it,20
8623,being,FM,VBG,being,NA,being,0,NA,being,NA,NA,NA,being,20
8624,commonly,FM,RB,commonly,NA,commonly,0,NA,commonly,NA,NA,NA,commonly,20
8625,exprefled,FM,VVN,exprefled,exprefled,exprefled,1,exprefled,NA,NA,NA,NA,.,20
8626,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,20
8627,by,FM,IN,by,NA,by,0,NA,by,NA,NA,NA,by,20
8628,-,SYM.Pun.Hyph,NN,-,NA,-,0,NA,-,NA,NA,-,-,20
8629,ues,FM,NNS,ues,NA,ues,1,ues,NA,NA,ues,NA,.,20
8630,or,FM,CC,or,NA,or,0,NA,or,NA,NA,NA,or,20
8631,ew,FM,NNS,ew,NA,ew,1,ew,NA,NA,ew,NA,.,20
8632,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8633,as,ADV,RB,as,NA,as,0,NA,as,NA,NA,NA,as,20
8634,true,FM,JJ,true,NA,true,0,NA,true,NA,NA,NA,true,20
8635,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8636,agus,FM,NN,agus,NA,agus,1,agus,NA,NA,NA,NA,.,20
8637,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8638,neavj,FM,NP,neavj,NA,neavj,1,neavj,NA,NA,NA,NA,.,20
8639,feau,FM,NP,feau,feau,feau,1,feau,NA,NA,NA,NA,.,20
8640,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8641,&,FM,CC,&,NA,&,0,NA,&,NA,NA,NA,&,20
8642,c,FM,LS,c,NA,c,0,NA,c,NA,NA,NA,c,20
8643,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,20
8644,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8645,It,FM,PP,It,NA,It,0,NA,It,NA,NA,NA,It,20
8646,is,FM,VBZ,is,NA,is,0,NA,is,NA,NA,NA,is,20
8647,not,ADJD.Pos,RB,not,NA,not,0,NA,not,NA,NA,NA,not,20
8648,heard,FM,VVN,heard,NA,heard,0,NA,heard,NA,NA,NA,heard,20
8649,in,FM,IN,in,NA,in,0,NA,in,NA,NA,NA,in,20
8650,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8651,theſe,FM,JJ,these,NA,these,0,NA,these,NA,NA,NA,these,20
8652,Words,FM,NNS,Words,NA,Words,0,NA,Words,NA,NA,NA,Words,20
8653,;,SYM.Pun.Sent,:,;,NA,;,0,NA,;,NA,NA,;,;,20
8654,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8655,court,VPP.Full.Psp,NN,court,NA,court,0,NA,court,NA,NA,NA,court,20
8656,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8657,courſe,N.Reg.Acc.Pl.Masc,NN,course,NA,course,0,NA,course,NA,NA,NA,course,20
8658,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8659,Burcet,FM,NP,Burcet,NA,Burcet,1,Burcet,NA,NA,NA,NA,.,20
8660,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,20
8661,ar,FM,NN,ar,NA,ar,0,NA,ar,NA,NA,NA,ar,20
8662,;,SYM.Pun.Sent,:,;,NA,;,0,NA,;,NA,NA,;,;,20
8663,nor,FM,CC,nor,NA,nor,0,NA,nor,NA,NA,NA,nor,20
8664,would,FM,MD,would,NA,would,0,NA,would,NA,NA,NA,would,20
8665,be,FM,VB,be,NA,be,0,NA,be,NA,NA,NA,be,20
8666,wanted,FM,VVN,wanted,NA,wanted,0,NA,wanted,NA,NA,NA,wanted,20
8667,in,FM,IN,in,NA,in,0,NA,in,NA,NA,NA,in,20
8668,many,FM,JJ,many,NA,many,0,NA,many,NA,NA,NA,many,20
8669,othersj,FM,NN,othersj,NA,othersj,1,othersj,NA,NA,NA,NA,.,20
8670,if,FM,IN,if,if,if,0,NA,if,NA,NA,NA,if,20
8671,g,N.Reg.*.*.*,NN,g,NA,g,0,NA,g,NA,NA,NA,g,20
8672,Had,FM,VHD,Had,NA,Had,0,NA,Had,NA,NA,NA,Had,20
8673,itse,FM,NN,itse,NA,itse,1,itse,NA,NA,NA,NA,.,20
8674,natural,FM,JJ,natural,NA,natural,0,NA,natural,NA,NA,NA,natural,20
8675,hard,FM,JJ,hard,NA,hard,0,NA,hard,NA,NA,NA,hard,20
8676,Sound,FM,NN,Sound,NA,Sound,0,NA,Sound,NA,NA,NA,Sound,20
8677,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8678,as,ADV,IN,as,NA,as,0,NA,as,NA,NA,NA,as,20
8679,guide,ADJA.Pos.Acc.Sg.Fem,NN,guide,NA,guide,0,NA,guide,NA,NA,NA,guide,20
8680,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8681,guile,ADJA.Pos.Acc.Sg.Fem,NN,guile,NA,guile,0,NA,guile,NA,NA,NA,guile,20
8682,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8683,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",20
8684,&,FM,CC,&,NA,&,0,NA,&,NA,NA,NA,&,20
8685,ec,FM,NP,ec,NA,ec,0,NA,ec,NA,NA,NA,ec,20
8686,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,20
8687,as,ADV,RB,as,NA,as,0,NA,as,NA,NA,NA,as,20
8688,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,20
8689,may,N.Name.*.*.*,NN,may,NA,may,0,NA,may,NA,NA,NA,may,20
8690,/,SYM.Pun.Slash,SYM,/,NA,/,0,NA,/,NA,NA,/,/,20
8691,ha,N.Reg.*.*.*,NP,ha,NA,ha,0,NA,ha,NA,NA,NA,ha,20
8692,ſeen,N.Reg.Nom.Pl.Fem,NN,seen,NA,seen,0,NA,seen,NA,NA,NA,seen,20
8693,in,APPR.In,IN,in,NA,in,0,NA,in,NA,NA,NA,in,20
8694,treating,FM,VVG,treating,NA,treating,0,NA,treating,NA,NA,NA,treating,20
8695,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,20
8696,u,CONJ.Coord.-,NN,u,NA,u,0,NA,u,NA,NA,NA,u,20
8697,redundant,ADJD.Pos,JJ,redundant,NA,redundant,0,NA,redundant,NA,NA,NA,redundant,20
8698,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,20
8699,Theſo,CARD,NP,Theso,NA,Theso,1,Theso,NA,NA,NA,NA,.,20
8700,A,N.Name.*.*.*,DT,A,NA,A,0,NA,A,NA,NA,NA,A,21
8701,Complete,N.Reg.Nom.Sg.Masc,JJ,Complete,NA,Complete,0,NA,Complete,NA,NA,NA,Complete,21
8702,ENCLIsH,N.Name.Nom.Sg.Masc,NP,ENCLIsH,NA,ENCLIsH,1,ENCLIsH,NA,NA,NA,NA,.,21
8703,GRAMMAk,N.Name.Nom.Sg.Masc,NP,GRAMMAk,NA,GRAMMAk,1,GRAMMAk,NA,NA,NA,NA,Grammar,21
8704,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,21
8705,21,CARD,CD,21,NA,21,0,NA,21,NA,NA,NA,21,21
8706,Theſe,N.Reg.Acc.Pl.Masc,JJ,These,NA,These,0,NA,These,NA,NA,NA,These,21
8707,Words,FM,NNS,Words,NA,Words,0,NA,Words,NA,NA,NA,Words,21
8708,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8709,would,FM,MD,would,NA,would,0,NA,would,NA,NA,NA,would,21
8710,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8711,ſhould,FM,NN,should,NA,should,0,NA,should,NA,NA,NA,should,21
8712,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8713,could,FM,MD,could,NA,could,1,could,NA,NA,NA,NA,.,21
8714,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8715,ſound,FM,JJ,sound,NA,sound,0,NA,sound,NA,NA,NA,sound,21
8716,exactiy,FM,NNS,exactiy,NA,exactiy,1,exactiy,NA,NA,exactiy,NA,.,21
8717,like,FM,IN,like,NA,like,0,NA,like,NA,NA,NA,like,21
8718,oo,FM,NN,oo,NA,oo,0,NA,oo,NA,NA,NA,oo,21
8719,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8720,as,ADV,RB,as,NA,as,0,NA,as,NA,NA,NA,as,21
8721,if,FM,IN,if,if,if,0,NA,if,NA,NA,NA,if,21
8722,wrote,FM,VVD,wrote,NA,wrote,0,NA,wrote,NA,NA,NA,wrote,21
8723,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8724,woold,FM,NNS,woold,NA,woold,0,NA,woold,NA,NA,NA,woold,21
8725,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8726,ſhoold,FM,NNS,shoold,NA,shoold,1,shoold,NA,NA,shoold,NA,.,21
8727,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8728,coold,FM,NNS,coold,NA,coold,1,coold,NA,NA,coold,NA,.,21
8729,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,21
8730,Is,FM,VBZ,Is,NA,Is,0,NA,Is,NA,NA,NA,Is,21
8731,always,FM,RB,always,NA,always,0,NA,always,NA,NA,NA,always,21
8732,a,FM,DT,a,NA,a,0,NA,a,NA,NA,NA,a,21
8733,Confonant,FM,NN,Confonant,Confonant,Confonant,1,Confonant,NA,NA,NA,NA,Consonant,21
8734,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8735,both,FM,CC,both,NA,both,0,NA,both,NA,NA,NA,both,21
8736,before,FM,IN,before,before,before,0,NA,before,NA,NA,NA,before,21
8737,and,FM,CC,and,NA,and,0,NA,and,NA,NA,NA,and,21
8738,after,FM,IN,after,after,after,0,NA,after,NA,NA,NA,after,21
8739,any,FM,DT,any,NA,any,0,NA,any,NA,NA,NA,any,21
8740,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,21
8741,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,21
8742,five,FM,CD,five,five,five,0,NA,five,NA,NA,NA,five,21
8743,Vowels,FM,NP,Vowels,NA,Vowels,0,NA,Vowels,NA,NA,NA,Vowels,21
8744,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8745,to,FM,TO,to,NA,to,0,NA,to,NA,NA,NA,to,21
8746,which,ADJD.Pos,WDT,which,NA,which,0,NA,which,NA,NA,NA,which,21
8747,it,FM,PP,it,NA,it,0,NA,it,NA,NA,NA,it,21
8748,is,FM,VBZ,is,NA,is,0,NA,is,NA,NA,NA,is,21
8749,always,FM,RB,always,NA,always,0,NA,always,NA,NA,NA,always,21
8750,joined,FM,VVN,joined,NA,joined,0,NA,joined,NA,NA,NA,joined,21
8751,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,21
8752,It,FM,PP,It,NA,It,0,NA,It,NA,NA,NA,It,21
8753,never,FM,RB,never,NA,never,0,NA,never,NA,NA,NA,never,21
8754,ends,FM,VVZ,ends,NA,ends,1,ends,NA,NA,NA,NA,.,21
8755,a,FM,DT,a,NA,a,0,NA,a,NA,NA,NA,a,21
8756,Word,FM,NP,Word,NA,Word,0,NA,Word,NA,NA,NA,Word,21
8757,without,FM,IN,without,NA,without,0,NA,without,NA,NA,NA,without,21
8758,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,21
8759,ſilent,FM,JJ,silent,NA,silent,0,NA,silent,NA,NA,NA,silent,21
8760,e,FM,NN,e,NA,e,0,NA,e,NA,NA,NA,e,21
8761,after,FM,IN,after,after,after,0,NA,after,NA,NA,NA,after,21
8762,it,FM,PP,it,NA,it,0,NA,it,NA,NA,NA,it,21
8763,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8764,and,FM,CC,and,NA,and,0,NA,and,NA,NA,NA,and,21
8765,often,FM,RB,often,often,often,0,NA,often,NA,NA,NA,often,21
8766,follows,FM,VVZ,follows,follows,follows,0,NA,follows,NA,NA,NA,follows,21
8767,!,SYM.Pun.Sent,SENT,!,NA,!,0,NA,!,NA,NA,!,!,21
8768,and,FM,CC,and,NA,and,0,NA,and,NA,NA,NA,and,21
8769,r,N.Name.Nom.Sg.Neut,NN,r,NA,r,0,NA,r,NA,NA,NA,r,21
8770,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8771,as,ADV,IN,as,NA,as,0,NA,as,NA,NA,NA,as,21
8772,calves,FM,NNS,calves,NA,calves,1,calves,NA,NA,calves,NA,.,21
8773,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8774,balvei,FM,NNS,balvei,NA,balvei,1,balvei,NA,NA,balvei,NA,NA,21
8775,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8776,carve,FM,VV,carve,NA,carve,0,NA,carve,NA,NA,NA,carve,21
8777,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8778,ſtarve,FM,NN,starve,NA,starve,0,NA,starve,NA,NA,NA,starve,21
8779,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8780,&,FM,CC,&,NA,&,0,NA,&,NA,NA,NA,&,21
8781,c,FM,LS,c,NA,c,0,NA,c,NA,NA,NA,c,21
8782,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,21
8783,It,N.Name.Nom.Sg.*,PP,It,NA,It,0,NA,It,NA,NA,NA,It,21
8784,differs,VFIN.Full.3.Sg.Past.Ind,VVZ,differs,differs,differs,1,differs,NA,NA,NA,NA,.,21
8785,very,ADV,RB,very,NA,very,0,NA,very,NA,NA,NA,very,21
8786,much,ADV,RB,much,NA,much,0,NA,much,NA,NA,NA,much,21
8787,from,FM,IN,from,from,from,0,NA,from,NA,NA,NA,from,21
8788,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,21
8789,aforegoing,FM,JJ,aforegoing,aforegoing,aforegoing,0,NA,aforegoing,NA,NA,NA,aforegoing,21
8790,u,N.Name.Nom.Sg.Neut,NN,u,NA,u,0,NA,u,NA,NA,NA,u,21
8791,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8792,Vowei,N.Name.Nom.Sg.Neut,NP,Vowei,NA,Vowei,1,Vowei,NA,NA,NA,NA,NA,21
8793,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8794,both,ADJD.Pos,CC,both,NA,both,0,NA,both,NA,NA,NA,both,21
8795,in,APPR.In,IN,in,NA,in,0,NA,in,NA,NA,NA,in,21
8796,Shape,N.Reg.Dat.Sg.Fem,NP,Shape,NA,Shape,0,NA,Shape,NA,NA,NA,Shape,21
8797,and,FM,CC,and,NA,and,0,NA,and,NA,NA,NA,and,21
8798,Pronunciation,FM,NN,Pronunciation,NA,Pronunciation,0,NA,Pronunciation,NA,NA,NA,Pronunciation,21
8799,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8800,and,FM,CC,and,NA,and,0,NA,and,NA,NA,NA,and,21
8801,therefore,FM,RB,therefore,therefore,therefore,0,NA,therefore,NA,NA,NA,therefore,21
8802,they,FM,PP,they,NA,they,0,NA,they,NA,NA,NA,they,21
8803,are,FM,VBP,are,NA,are,0,NA,are,NA,NA,NA,are,21
8804,extremely,FM,RB,extremely,NA,extremely,0,NA,extremely,NA,NA,NA,extremely,21
8805,erroneous,FM,JJ,erroneous,NA,erroneous,0,NA,erroneous,NA,NA,NA,erroneous,21
8806,who,FM,WP,who,NA,who,0,NA,who,NA,NA,NA,who,21
8807,give,FM,VVP,give,NA,give,0,NA,give,NA,NA,NA,give,21
8808,it,FM,PP,it,NA,it,0,NA,it,NA,NA,NA,it,21
8809,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,21
8810,Sound,FM,NN,Sound,NA,Sound,0,NA,Sound,NA,NA,NA,Sound,21
8811,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,21
8812,u,N.Name.Nom.Sg.Neut,NN,u,NA,u,0,NA,u,NA,NA,NA,u,21
8813,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8814,inſtead,FM,NN,instead,NA,instead,0,NA,instead,NA,NA,NA,instead,21
8815,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,21
8816,ve,FM,NNS,ve,NA,ve,0,NA,ve,NA,NA,NA,ve,21
8817,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8818,or,FM,CC,or,NA,or,0,NA,or,NA,NA,NA,or,21
8819,eu,FM,NN,eu,NA,eu,1,eu,NA,NA,NA,NA,.,21
8820,;,SYM.Pun.Sent,:,;,NA,;,0,NA,;,NA,NA,;,;,21
8821,it,FM,PP,it,NA,it,0,NA,it,NA,NA,NA,it,21
8822,having,FM,VHG,having,NA,having,0,NA,having,NA,NA,NA,having,21
8823,a,FM,DT,a,NA,a,0,NA,a,NA,NA,NA,a,21
8824,Sound,FM,JJ,Sound,NA,Sound,0,NA,Sound,NA,NA,NA,Sound,21
8825,very,ADV,JJ,very,NA,very,0,NA,very,NA,NA,NA,very,21
8826,ncar,FM,NN,ncar,NA,ncar,1,ncar,NA,NA,NA,NA,.,21
8827,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,21
8828,Letterf,N.Reg.Acc.Sg.Masc,NP,Letterf,Letterf,Letterf,1,Letterf,NA,NA,NA,NA,.,21
8829,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,21
8830,Beſides,N.Reg.Acc.Pl.Masc,NP,Besides,NA,Besides,0,NA,Besides,NA,NA,NA,Besides,21
8831,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8832,if,FM,IN,if,if,if,0,NA,if,NA,NA,NA,if,21
8833,it,FM,PP,it,NA,it,0,NA,it,NA,NA,NA,it,21
8834,were,VFIN.Full.3.Sg.Pres.Subj,VBD,were,NA,were,0,NA,were,NA,NA,NA,were,21
8835,indifferent,ADJD.Pos,JJ,indifferent,indifferent,indifferent,0,NA,indifferent,NA,NA,NA,indifferent,21
8836,which,ADJD.Pos,WDT,which,NA,which,0,NA,which,NA,NA,NA,which,21
8837,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,21
8838,them,ADJA.Pos.Dat.Sg.Neut,PP,them,NA,them,0,NA,them,NA,NA,NA,them,21
8839,fhould,FM,NN,fhould,fhould,fhould,1,fhould,NA,NA,NA,NA,.,21
8840,be,FM,VB,be,NA,be,0,NA,be,NA,NA,NA,be,21
8841,uſed,FM,VVN,used,NA,used,0,NA,used,NA,NA,NA,used,21
8842,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8843,I,FM,PP,I,NA,I,0,NA,I,NA,NA,NA,I,21
8844,would,FM,MD,would,NA,would,0,NA,would,NA,NA,NA,would,21
8845,only,FM,RB,only,NA,only,0,NA,only,NA,NA,NA,only,21
8846,alk,FM,VV,alk,NA,alk,1,alk,NA,NA,NA,NA,.,21
8847,how,PROADV.Inter,WRB,how,NA,how,0,NA,how,NA,NA,NA,how,21
8848,ſuch,FM,NN,such,NA,such,0,NA,such,NA,NA,NA,such,21
8849,Perſons,FM,NNS,Persons,NA,Persons,0,NA,Persons,NA,NA,NA,Persons,21
8850,would,FM,MD,would,NA,would,0,NA,would,NA,NA,NA,would,21
8851,ſpell,FM,VV,spell,NA,spell,0,NA,spell,NA,NA,NA,spell,21
8852,cenvulffon,FM,NN,cenvulffon,cenvulffon,cenvulffon,1,cenvulffon,NA,NA,NA,NA,NA,21
8853,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8854,divulge,FM,VV,divulge,NA,divulge,0,NA,divulge,NA,NA,NA,divulge,21
8855,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8856,vulgar,FM,JJ,vulgar,NA,vulgar,0,NA,vulgar,NA,NA,NA,vulgar,21
8857,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8858,valture,FM,NN,valture,NA,valture,1,valture,NA,NA,NA,NA,.,21
8859,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8860,uvule,FM,NN,uvule,NA,uvule,0,NA,uvule,NA,NA,NA,uvule,21
8861,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8862,&,FM,CC,&,NA,&,0,NA,&,NA,NA,NA,&,21
8863,c,FM,LS,c,NA,c,0,NA,c,NA,NA,NA,c,21
8864,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,21
8865,W,SYM.Other.XY,NP,W,NA,W,0,NA,W,NA,NA,NA,W,21
8866,Is,FM,VBZ,Is,NA,Is,0,NA,Is,NA,NA,NA,Is,21
8867,a,FM,DT,a,NA,a,0,NA,a,NA,NA,NA,a,21
8868,Conſonant,FM,NP,Consonant,NA,Consonant,0,NA,Consonant,NA,NA,NA,Consonant,21
8869,not,ADJD.Pos,RB,not,NA,not,0,NA,not,NA,NA,NA,not,21
8870,uſed,FM,VVD,used,NA,used,0,NA,used,NA,NA,NA,used,21
8871,at,FM,IN,at,NA,at,0,NA,at,NA,NA,NA,at,21
8872,all,FM,DT,all,NA,all,0,NA,all,NA,NA,NA,all,21
8873,among,FM,IN,among,NA,among,0,NA,among,NA,NA,NA,among,21
8874,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,21
8875,Ancients,FM,NNS,Ancients,NA,Ancients,1,Ancients,NA,NA,Ancients,NA,NA,21
8876,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8877,nor,FM,CC,nor,NA,nor,0,NA,nor,NA,NA,NA,nor,21
8878,among,FM,IN,among,NA,among,0,NA,among,NA,NA,NA,among,21
8879,many,FM,JJ,many,NA,many,0,NA,many,NA,NA,NA,many,21
8880,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,21
8881,our,FM,PP$,our,NA,our,0,NA,our,NA,NA,NA,our,21
8882,Moderns,N.Reg.Gen.Sg.Neut,NNS,Moderns,NA,Moderns,1,Moderns,NA,NA,Moderns,NA,.,21
8883,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8884,except,VFIN.Full.3.Sg.Pres.Ind,IN,except,NA,except,0,NA,except,NA,NA,NA,except,21
8885,the,N.Name.*.*.*,DT,the,NA,the,0,NA,the,NA,NA,NA,the,21
8886,Germans,N.Name.Gen.Sg.*,NPS,Germans,NA,Germans,1,Germans,NA,NA,NA,NA,.,21
8887,and,N.Name.*.*.*,CC,and,NA,and,0,NA,and,NA,NA,NA,and,21
8888,Dutcb,N.Name.Nom.Sg.*,NP,Dutcb,NA,Dutcb,1,Dutcb,NA,NA,NA,NA,.,21
8889,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,21
8890,This,FM,DT,This,NA,This,0,NA,This,NA,NA,NA,This,21
8891,Letter,N.Reg.Nom.Sg.Masc,NN,Letter,NA,Letter,0,NA,Letter,NA,NA,NA,Letter,21
8892,might,FM,MD,might,NA,might,0,NA,might,NA,NA,NA,might,21
8893,more,FM,RBR,more,NA,more,0,NA,more,NA,NA,NA,more,21
8894,properly,FM,RB,properly,NA,properly,0,NA,properly,NA,NA,NA,properly,21
8895,be,FM,VB,be,NA,be,0,NA,be,NA,NA,NA,be,21
8896,called,FM,VVN,called,NA,called,0,NA,called,NA,NA,NA,called,21
8897,double,VFIN.Full.1.Sg.Pres.Ind,RB,double,NA,double,0,NA,double,NA,NA,NA,double,21
8898,we,PRO.Pers.Subst.1.Nom.Pl.*,PP,we,NA,we,0,NA,we,NA,NA,NA,we,21
8899,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8900,or,FM,CC,or,NA,or,0,NA,or,NA,NA,NA,or,21
8901,double,VFIN.Full.1.Sg.Pres.Ind,JJ,double,NA,double,0,NA,double,NA,NA,NA,double,21
8902,ev,ADJD.Pos,NN,ev,NA,ev,1,ev,NA,NA,NA,NA,.,21
8903,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",21
8904,being,VFIN.Full.3.Sg.Past.Ind,VBG,being,NA,being,0,NA,being,NA,NA,NA,being,21
8905,an,APPR.An,DT,an,NA,an,0,NA,an,NA,NA,NA,an,21
8906,abſolute,N.Reg.Dat.Sg.Fem,NN,absolute,NA,absolute,0,NA,absolute,NA,NA,NA,absolute,21
8907,or,FM,CC,or,NA,or,0,NA,or,NA,NA,NA,or,21
8908,perfect,FM,JJ,perfect,perfect,perfect,0,NA,perfect,NA,NA,NA,perfect,21
8909,Union,N.Reg.Nom.Sg.Fem,NN,Union,NA,Union,0,NA,Union,NA,NA,NA,Union,21
8910,or,FM,CC,or,NA,or,0,NA,or,NA,NA,NA,or,21
8911,Duplicate,FM,VV,Duplicate,NA,Duplicate,0,NA,Duplicate,NA,NA,NA,Duplicate,21
